Source,Target,Weight,Type
6413ccb9-6585-462c-a5a5-416fc4fcb65a,d94a4f17-3c14-4398-9fcc-1179333a99c5,0.4182,Undirected
6413ccb9-6585-462c-a5a5-416fc4fcb65a,6ef92b95-a51b-45a6-ad73-a2ff3a1ecc84,0.3412,Undirected
6413ccb9-6585-462c-a5a5-416fc4fcb65a,75f06cd7-7650-4c1d-b403-4a13090c61b8,0.3404,Undirected
6413ccb9-6585-462c-a5a5-416fc4fcb65a,d4652e27-ea69-424f-83ec-6571774c25eb,0.322,Undirected
c945c4bf-ab0d-4acc-9957-26ea75dd764a,1dbc3da0-e7e5-43de-bbe4-8cd756e1940a,0.3323,Undirected
c945c4bf-ab0d-4acc-9957-26ea75dd764a,33166473-637e-49a8-89fa-ff3b9ce1f7c0,0.3251,Undirected
c945c4bf-ab0d-4acc-9957-26ea75dd764a,0f7f02d3-46a0-4c82-a59c-53992cc81e57,0.3045,Undirected
34f5853b-f4fa-4e25-ad3d-75e5581397e1,79ad1fe4-e4a1-402e-a81e-2281ae852a50,0.3775,Undirected
34f5853b-f4fa-4e25-ad3d-75e5581397e1,a4459701-f740-4d87-9a41-5ba4f5cbca24,0.3305,Undirected
34f5853b-f4fa-4e25-ad3d-75e5581397e1,f73e6f03-16bb-478e-8a8a-2db4e2263013,0.3173,Undirected
cbfcc813-0f80-4dce-b2e6-d8fbc7024e5b,246d964e-a81f-49eb-8eb1-679d9db5a942,0.3135,Undirected
d9a2fb0f-909a-40ed-9407-c0928dc398e1,e73882c2-6967-4de8-b32e-6dd7d12ad5b1,0.5025,Undirected
d9a2fb0f-909a-40ed-9407-c0928dc398e1,1f6ae2d4-19ec-4e76-868d-6c3ace25d7e7,0.3962,Undirected
d9a2fb0f-909a-40ed-9407-c0928dc398e1,0929b0fd-9e1b-464c-b3dc-20815db14212,0.3736,Undirected
d9a2fb0f-909a-40ed-9407-c0928dc398e1,36199fb2-f13c-4285-9223-311ca489d053,0.3682,Undirected
07892ace-8b25-427d-a699-1e07c490599b,e777ced0-f4a4-454d-8ae1-4d6b90897627,0.3844,Undirected
07892ace-8b25-427d-a699-1e07c490599b,e58bee7c-3296-4507-9113-d4b2b0ed2b03,0.3116,Undirected
5454342e-cc8a-494a-ad96-f897d30c1092,646b5df3-5039-4b00-94b5-9eb90dbbb65b,0.4958,Undirected
5454342e-cc8a-494a-ad96-f897d30c1092,370f3f78-754f-488c-9fc5-6385fc1c8f29,0.4686,Undirected
5454342e-cc8a-494a-ad96-f897d30c1092,33c89b0e-5575-4a17-9fd3-3c5e926cac9e,0.3861,Undirected
5454342e-cc8a-494a-ad96-f897d30c1092,246d964e-a81f-49eb-8eb1-679d9db5a942,0.3798,Undirected
6d0114cb-7ae1-4b00-b79a-3fcb01620598,dc54616f-10ab-4713-a225-3fa3dfbd40d1,0.4852,Undirected
6d0114cb-7ae1-4b00-b79a-3fcb01620598,1f390017-71a7-416a-a303-55ba8b9caeb8,0.3518,Undirected
6d0114cb-7ae1-4b00-b79a-3fcb01620598,51d03866-6983-490b-bcbb-480927c24460,0.3307,Undirected
a7ba346a-ddf2-4840-97d8-137da0e45f70,d4652e27-ea69-424f-83ec-6571774c25eb,0.3251,Undirected
a7ba346a-ddf2-4840-97d8-137da0e45f70,894f2bfd-7eda-418b-a018-7fc3069f4fdb,0.306,Undirected
b4c84a83-793c-476b-a1e6-2ffc3cf5a476,c023c615-3d67-4fff-b900-31256aa99658,0.5771,Undirected
b4c84a83-793c-476b-a1e6-2ffc3cf5a476,4bf4b9d3-fdba-4fd3-9783-3220fc2cfbee,0.4245,Undirected
b4c84a83-793c-476b-a1e6-2ffc3cf5a476,df41eec6-e5ef-415b-9455-e01e47355426,0.3811,Undirected
b4c84a83-793c-476b-a1e6-2ffc3cf5a476,0cc73f00-3985-4626-b8c4-eac29ff2ba83,0.3728,Undirected
eb52d2d7-289a-44f1-9427-5bab3cf5cd71,224f965c-55b4-4216-89b9-727740907634,0.3935,Undirected
eb52d2d7-289a-44f1-9427-5bab3cf5cd71,1981d48d-f32e-4837-9724-4c3e939f690b,0.3776,Undirected
eb52d2d7-289a-44f1-9427-5bab3cf5cd71,963e2f90-9df8-43b7-aa8c-d9ecbfc79735,0.3726,Undirected
eb52d2d7-289a-44f1-9427-5bab3cf5cd71,4f741a6a-f482-45c6-92e6-1951337030d2,0.3715,Undirected
42edbf25-2847-454d-ad5e-9a60a5aa5ff9,5e356043-fb2f-495b-a356-aae2ab000bdb,0.6133,Undirected
42edbf25-2847-454d-ad5e-9a60a5aa5ff9,a872ff1a-a5dd-4c1b-801b-bb4ef782d9b1,0.4067,Undirected
42edbf25-2847-454d-ad5e-9a60a5aa5ff9,28ccecd8-2954-45ca-8808-55de578ff743,0.3416,Undirected
42edbf25-2847-454d-ad5e-9a60a5aa5ff9,c845cc5b-2b5f-414f-b1db-dea45bcf8ef0,0.3333,Undirected
141fc352-9104-417b-9799-be5f82969e7e,a4459701-f740-4d87-9a41-5ba4f5cbca24,0.3501,Undirected
141fc352-9104-417b-9799-be5f82969e7e,2a833b80-950b-4984-b065-0ff89400f45a,0.3007,Undirected
1070ae5f-9e40-402c-8421-002c95fffc38,13fbe8d6-5f76-4a6f-bdc3-4d794de68168,0.4907,Undirected
1070ae5f-9e40-402c-8421-002c95fffc38,a9624899-6ba5-4b9e-a544-d11c1fd2ee9d,0.4116,Undirected
1070ae5f-9e40-402c-8421-002c95fffc38,b8b30de2-4b34-4113-b3cb-d20382a24acc,0.3987,Undirected
1070ae5f-9e40-402c-8421-002c95fffc38,1e3b4fbc-7285-4fce-8178-85bce12db26c,0.3911,Undirected
3d5764c1-3a52-4ca3-85cc-55d0014e2a10,bbb56f0a-12f4-4b37-97a8-da941f6898e5,0.4327,Undirected
3d5764c1-3a52-4ca3-85cc-55d0014e2a10,f4e0b2c9-78c2-495d-b8d3-2511e7c191ce,0.3435,Undirected
3d5764c1-3a52-4ca3-85cc-55d0014e2a10,1fa155e8-2809-4ca5-b12b-7b35eb532e2c,0.337,Undirected
3d5764c1-3a52-4ca3-85cc-55d0014e2a10,33c89b0e-5575-4a17-9fd3-3c5e926cac9e,0.3054,Undirected
