Id,Label,Theme,Score
6413ccb9-6585-462c-a5a5-416fc4fcb65a,Cover-Up,"guy, might, money",3.0
c945c4bf-ab0d-4acc-9957-26ea75dd764a,Scarlet,"war, black, men",2.0
34f5853b-f4fa-4e25-ad3d-75e5581397e1,The King of Color,"guy, might, money",3.0
cbfcc813-0f80-4dce-b2e6-d8fbc7024e5b,David,"alien, creature, dream",3.0
d9a2fb0f-909a-40ed-9407-c0928dc398e1,Dust Bunny,"alien, creature, dream",3.0
07892ace-8b25-427d-a699-1e07c490599b,The Housemaid,"horror, house, home",2.5
5454342e-cc8a-494a-ad96-f897d30c1092,Resurrection,"alien, creature, dream",2.0
6d0114cb-7ae1-4b00-b79a-3fcb01620598,Lone Samurai,"action, superhero, hero",2.5
e39ee7bc-3e9a-4230-9cb0-0915c8b76ffe,Not Without Hope,"guy, might, money",3.0
a7ba346a-ddf2-4840-97d8-137da0e45f70,The SpongeBob Movie: Search for SquarePants,"guy, might, money",4.0
b4c84a83-793c-476b-a1e6-2ffc3cf5a476,Wake Up Dead Man: A Knives Out Mystery,"crime, murder, killer",3.5
eb52d2d7-289a-44f1-9427-5bab3cf5cd71,Ella McCay,"school, high, student",3.0
42edbf25-2847-454d-ad5e-9a60a5aa5ff9,Influencers,"horror, house, home",3.0
141fc352-9104-417b-9799-be5f82969e7e,Breakdown: 1975,"guy, might, money",2.0
1070ae5f-9e40-402c-8421-002c95fffc38,The Voice of Hind Rajab,"documentary, party, event",4.0
3d5764c1-3a52-4ca3-85cc-55d0014e2a10,The Elephant,"alien, creature, dream",3.5
9fe0554a-f3ac-4112-b49e-ab7e05f416c9,"Silent Night, Deadly Night","crime, murder, killer",1.5
2e93014d-a4e7-4830-b973-d4587ef5c71c,Avatar: Fire and Ash,"action, superhero, hero",2.5
aaeca4b2-f938-4330-a4a1-0d5976697087,Is This Thing On?,"love, friend, moment",3.5
98299f44-18bd-4d14-82b5-bbb67d518ed9,Atropia,"war, black, men",2.5
295e36c4-2906-41d7-9508-7fccb4c008ef,Belle,"alien, creature, dream",3.0
d8c45a4a-0b6e-46cb-be33-5cebb46a7933,Mirai,"family, father, child",2.0
9aae23d6-035d-4bf9-b85e-aef2ef3eb174,The Prince Of Egypt,"alien, creature, dream",3.5
9d6d5efc-b8ba-4bf2-8938-5296790208a8,A Simple Favor,"school, high, student",3.0
e8c8c3f3-9c79-441e-9f34-d445b8e46a4e,Another Simple Favor,"action, superhero, hero",2.5
e99bffa0-94be-436e-a80e-0f3c98371d4d,Long Day’s Journey Into Night,"love, friend, moment",4.0
5da96095-696e-4a3b-a4c4-21a893a9dd4c,Glass Onion: A Knives Out Mystery,"crime, murder, killer",3.0
c023c615-3d67-4fff-b900-31256aa99658,Knives Out,"crime, murder, killer",3.5
5e356043-fb2f-495b-a356-aae2ab000bdb,Influencer,"horror, house, home",3.0
51d1245b-3065-4f12-83cf-53b395a4456d,The Man Who Sold His Skin,"documentary, party, event",2.5
2b05eb62-3c09-45ea-b27c-01e2fcd53e73,Four Daughters,"family, father, child",3.5
1e3b4fbc-7285-4fce-8178-85bce12db26c,Put Your Soul on Your Hand and Walk,"documentary, party, event",4.0
ffcb149f-8fb1-483b-a2d2-21c09660f1c3,Terminator 2: Judgment Day,"alien, creature, dream",3.5
9d14a7ca-0032-43fd-bbbe-2c7b3916dc63,Aliens,"alien, creature, dream",3.5
a3fdd9bd-2c1a-4b93-9da4-43d8cd7fca1d,Avatar: The Way of Water,"alien, creature, dream",3.5
67a75c61-ad43-4e81-a82c-ad70ef82d4fa,A Star is Born,"music, song, band",3.5
15b0f0e2-9809-4084-b307-d02659668555,Maestro,"love, friend, moment",3.0
4e350912-a274-404c-9c13-5cf4e6d80ff5,The Son,"family, father, child",4.0
a69354fa-41a8-4128-a633-45be786d615e,Wag the Dog,"guy, might, money",4.0
bef7458f-5556-4493-b769-25cfea0db07a,Warfare,"war, black, men",3.0
4fd9e115-e48a-4799-aa57-22ddd73e22f7,American Sniper,"war, black, men",3.5
44485fac-a79d-4a19-a54f-e207066a5cc5,Inside Out,"alien, creature, dream",4.0
102bfb19-f615-4e3a-bd9a-7dcfe64b8639,The Boy and the Beast,"action, superhero, hero",3.0
886d1b1b-12c0-4cc9-811c-1fd0132a3eeb,Discovering human nature,"alien, creature, dream",4.0
fc1c7717-8598-4d87-b4b8-42032942e5d3,What Dreams May Come,"alien, creature, dream",3.5
17f2bc72-94e3-495a-be03-f6f6cbacaf90,A Bug’s Life,"alien, creature, dream",3.5
015e5306-3c12-4754-9362-d709d02e0ce8,Antz,"alien, creature, dream",3.5
beb28e89-575f-413d-ad73-50127261729d,The Heat,"guy, might, money",3.0
3d73b9d3-e240-4d0e-84d5-161d37102660,Gone Girl,"crime, murder, killer",3.5
